JobID           JobName     MaxRSS     ReqMem        NodeList 
------------ ---------- ---------- ---------- --------------- 
3359847      mem200_03+                31968G nid[001000,001+ 
3359847.bat+      batch                             nid001000 
3359847.ext+     extern                       nid[001000,001+ 
3359847.805  alya_3D_l+    499984K            nid[001000,001+ 
3359847.806  alya_3D_l+    517284K            nid[001000,001+ 
3359847.807  alya_3D_l+    500660K            nid[001921-001+ 
3359847.808  alya_3D_l+    516136K            nid[001149,001+ 
3359847.809  alya_3D_l+    516364K            nid[001122,001+ 
3359847.810  alya_3D_l+    500296K            nid[001253-001+ 
3359847.811  alya_3D_l+    516548K            nid[001420-001+ 
3359847.812  alya_3D_l+    500440K            nid[001000,001+ 
3359847.813  alya_3D_l+    516168K            nid[001921-001+ 
3359847.814  alya_3D_l+    500104K            nid[002657,002+ 
3359847.815  alya_3D_l+    500248K            nid[001122,001+ 
3359847.816  alya_3D_l+    500284K            nid[001000,001+ 
3359847.817  alya_3D_l+    499716K            nid[001000,001+ 
3359847.818  alya_3D_l+    499960K            nid[001253-001+ 
3359847.819  alya_3D_l+    501212K            nid[001921-001+ 
3359847.820  alya_3D_l+    500308K            nid[002657,002+ 
3359847.821  alya_3D_l+    500316K            nid[001122,001+ 
3359847.822  alya_3D_l+    500040K            nid[001420-001+ 
3359847.823  alya_3D_l+    500744K            nid[001000,001+ 
3359847.824  alya_3D_l+    515484K            nid[001122,001+ 
3359847.825  alya_3D_l+    499984K            nid[001149,001+ 
3359847.826  alya_3D_l+    506572K            nid[001194,001+ 
3359847.827  alya_3D_l+    500408K            nid[001122,001+ 
3359847.828  alya_3D_l+    515620K            nid[001420-001+ 
3359847.829  alya_3D_l+    500316K            nid[001000,001+ 
3359847.830  alya_3D_l+    500208K            nid[001030-001+ 
3359847.831  alya_3D_l+    499848K            nid[001000,001+ 
3359847.832  alya_3D_l+    500392K            nid[001122,001+ 
3359847.833  alya_3D_l+    500272K            nid[001420-001+ 
3359847.834  alya_3D_l+    542880K            nid[001420-001+ 
3359847.835  alya_3D_l+    500092K            nid[001149,001+ 
3359847.836  alya_3D_l+    500044K            nid[001122,001+ 
3359847.837  alya_3D_l+    516188K            nid[001000,001+ 
3359847.838  alya_3D_l+    515848K            nid[001000,001+ 
3359847.839  alya_3D_l+    516348K            nid[001420-001+ 
3359847.840  alya_3D_l+    500404K            nid[001420-001+ 
3359847.841  alya_3D_l+    500088K            nid[001122,001+ 
3359847.842  alya_3D_l+    516056K            nid[001122,001+ 
3359847.843  alya_3D_l+    500144K            nid[001253-001+ 
3359847.844  alya_3D_l+    500164K            nid[001000,001+ 
3359847.845  alya_3D_l+    500228K            nid[001000,001+ 
3359847.846  alya_3D_l+    500204K            nid[001420-001+ 
3359847.847  alya_3D_l+    500184K            nid[001271,001+ 
3359847.848  alya_3D_l+    500908K            nid[001122,001+ 
3359847.849  alya_3D_l+    500252K            nid[001122,001+ 
3359847.850  alya_3D_l+    500324K            nid[001420-001+ 
3359847.851  alya_3D_l+    499928K            nid[001000,001+ 
3359847.852  alya_3D_l+    503556K            nid[001000,001+ 
3359847.853  alya_3D_l+    500316K            nid[001420-001+ 
3359847.854  alya_3D_l+    504056K            nid[001420-001+ 
3359847.855  alya_3D_l+    500408K            nid[001253-001+ 
3359847.856  alya_3D_l+    500328K            nid[001000,001+ 
3359847.857  alya_3D_l+    502420K            nid[001122,001+ 
3359847.858  alya_3D_l+    499952K            nid[002657,002+ 
3359847.859  alya_3D_l+    500208K            nid[001253-001+ 
3359847.860  alya_3D_l+    500552K            nid[001253-001+ 
3359847.861  alya_3D_l+    500152K            nid[001921-001+ 
3359847.862  alya_3D_l+    500548K            nid[001000,001+ 
3359847.863  alya_3D_l+    500472K            nid[001122,001+ 
3359847.864  alya_3D_l+    500372K            nid[002657,002+ 
3359847.865  alya_3D_l+    500120K            nid[001000,001+ 
3359847.866  alya_3D_l+    500072K            nid[001030-001+ 
3359847.867  alya_3D_l+    516624K            nid[001000,001+ 
3359847.868  alya_3D_l+    516312K            nid[001921-001+ 
3359847.869  alya_3D_l+    500408K            nid[001122,001+ 
3359847.870  alya_3D_l+    500028K            nid[002657,002+ 
3359847.871  alya_3D_l+    516072K            nid[001253-001+ 
3359847.872  alya_3D_l+    516256K            nid[001253-001+ 
3359847.873  alya_3D_l+    516052K            nid[001122,001+ 
3359847.874  alya_3D_l+    499944K            nid[001000,001+ 
3359847.875  alya_3D_l+    514668K            nid[001000,001+ 
3359847.876  alya_3D_l+    500328K            nid[002657,002+ 
3359847.877  alya_3D_l+    500324K            nid[001122,001+ 
3359847.878  alya_3D_l+    500236K            nid[001253-001+ 
3359847.879  alya_3D_l+    500260K            nid[001420-001+ 
3359847.880  alya_3D_l+    500268K            nid[001921-001+ 
3359847.881  alya_3D_l+    500212K            nid[001921-001+ 
3359847.882  alya_3D_l+    500116K            nid[001000,001+ 
3359847.883  alya_3D_l+    500284K            nid[001122,001+ 
3359847.884  alya_3D_l+    500016K            nid[002657,002+ 
3359847.885  alya_3D_l+    500288K            nid[001000,001+ 
3359847.886  alya_3D_l+    499816K            nid[001030-001+ 
3359847.887  alya_3D_l+    500216K            nid[001064,001+ 
3359847.888  alya_3D_l+    500024K            nid[001000,001+ 
3359847.889  alya_3D_l+    500044K            nid[001122,001+ 
3359847.890  alya_3D_l+    500104K            nid[002657,002+ 
3359847.891  alya_3D_l+    500268K            nid[001000,001+ 
3359847.892  alya_3D_l+    500084K            nid[001030-001+ 
3359847.893  alya_3D_l+    499908K            nid[001064,001+ 
3359847.894  alya_3D_l+    516324K            nid[001000,001+ 
3359847.895  alya_3D_l+    500220K            nid[001122,001+ 
3359847.896  alya_3D_l+    516228K            nid[002657,002+ 
3359847.897  alya_3D_l+    518288K            nid[001253-001+ 
3359847.898  alya_3D_l+    518000K            nid[001000,001+ 
3359847.899  alya_3D_l+    500628K            nid[001000,001+ 
3359847.900  alya_3D_l+    516320K            nid[001122,001+ 
3359847.901  alya_3D_l+    516068K            nid[001122,001+ 
3359847.902  alya_3D_l+    515792K            nid[002657,002+ 
3359847.903  alya_3D_l+    515048K            nid[001921-001+ 
3359847.904  alya_3D_l+    500276K            nid[001253-001+ 
3359847.905  alya_3D_l+    499800K            nid[001000,001+ 
3359847.906  alya_3D_l+    500128K            nid[001000,001+ 
3359847.907  alya_3D_l+    500352K            nid[001122,001+ 
3359847.908  alya_3D_l+    500472K            nid[001122,001+ 
3359847.909  alya_3D_l+    500080K            nid[001253-001+ 
3359847.910  alya_3D_l+    500192K            nid[001253-001+ 
3359847.911  alya_3D_l+    500056K            nid[001000,001+ 
3359847.912  alya_3D_l+    515512K            nid[001000,001+ 
3359847.913  alya_3D_l+    500640K            nid[001149,001+ 
3359847.914  alya_3D_l+    500340K            nid[001122,001+ 
3359847.915  alya_3D_l+    499948K            nid[001253-001+ 
3359847.916  alya_3D_l+    502528K            nid[001921-001+ 
3359847.917  alya_3D_l+    500164K            nid[001420-001+ 
3359847.918  alya_3D_l+    499980K            nid[001000,001+ 
3359847.919  alya_3D_l+    501644K            nid[001000,001+ 
3359847.920  alya_3D_l+    515196K            nid[001122,001+ 
3359847.921  alya_3D_l+    500432K            nid[001253-001+ 
3359847.922  alya_3D_l+    500660K            nid[001921-001+ 
3359847.923  alya_3D_l+    516568K            nid[001122,001+ 
3359847.924  alya_3D_l+    500620K            nid[001000,001+ 
3359847.925  alya_3D_l+    500468K            nid[001030-001+ 
3359847.926  alya_3D_l+    500204K            nid[001000,001+ 
3359847.927  alya_3D_l+    500540K            nid[001253-001+ 
3359847.928  alya_3D_l+    517052K            nid[001921-001+ 
3359847.929  alya_3D_l+    500188K            nid[001122,001+ 
3359847.930  alya_3D_l+    500376K            nid[001000,001+ 
3359847.931  alya_3D_l+    516352K            nid[001030-001+ 
3359847.932  alya_3D_l+    518140K            nid[001064,001+ 
3359847.933  alya_3D_l+    499856K            nid[001000,001+ 
3359847.934  alya_3D_l+    500356K            nid[001921-001+ 
3359847.935  alya_3D_l+    500084K            nid[001122,001+ 
3359847.936  alya_3D_l+    515096K            nid[001253-001+ 
3359847.937  alya_3D_l+    500228K            nid[001271,001+ 
3359847.938  alya_3D_l+    500612K            nid[001000,001+ 
3359847.939  alya_3D_l+    500540K            nid[001030-001+ 
3359847.940  alya_3D_l+    499904K            nid[001000,001+ 
3359847.941  alya_3D_l+    500080K            nid[001122,001+ 
3359847.942  alya_3D_l+    500448K            nid[001921-001+ 
3359847.943  alya_3D_l+    500516K            nid[001921-001+ 
3359847.944  alya_3D_l+    500028K            nid[001000,001+ 
3359847.945  alya_3D_l+    500124K            nid[001000,001+ 
3359847.946  alya_3D_l+    500264K            nid[001420-001+ 
3359847.947  alya_3D_l+    500520K            nid[001122,001+ 
3359847.948  alya_3D_l+    500280K            nid[001253-001+ 
3359847.949  alya_3D_l+    500368K            nid[001253-001+ 
3359847.950  alya_3D_l+    500236K            nid[001921-001+ 
3359847.951  alya_3D_l+    500216K            nid[001000,001+ 
3359847.952  alya_3D_l+    500516K            nid[001000,001+ 
3359847.953  alya_3D_l+    500472K            nid[001420-001+ 
3359847.954  alya_3D_l+    517036K            nid[002657,002+ 
3359847.955  alya_3D_l+    516488K            nid[001253-001+ 
3359847.956  alya_3D_l+    500256K            nid[001253-001+ 
3359847.957  alya_3D_l+    516140K            nid[001000,001+ 
3359847.958  alya_3D_l+    516440K            nid[001030-001+ 
3359847.959  alya_3D_l+    515460K            nid[001000,001+ 
3359847.960  alya_3D_l+    500096K            nid[002657,002+ 
3359847.961  alya_3D_l+    500152K            nid[001253-001+ 
3359847.962  alya_3D_l+    500420K            nid[001921-001+ 
3359847.963  alya_3D_l+    499936K            nid[001122,001+ 
3359847.964  alya_3D_l+    500168K            nid[001122,001+ 
3359847.965  alya_3D_l+    500064K            nid[001000,001+ 
3359847.966  alya_3D_l+    499856K            nid[001000,001+ 
3359847.967  alya_3D_l+    516504K            nid[001253-001+ 
3359847.968  alya_3D_l+    500264K            nid[001122,001+ 
3359847.969  alya_3D_l+    500344K            nid[001149,001+ 
3359847.970  alya_3D_l+    500128K            nid[001122,001+ 
3359847.971  alya_3D_l+    500240K            nid[001420-001+ 
3359847.972  alya_3D_l+    499932K            nid[001000,001+ 
3359847.973  alya_3D_l+    503828K            nid[001253-001+ 
3359847.974  alya_3D_l+    499996K            nid[002657,002+ 
3359847.975  alya_3D_l+    500400K            nid[001122,001+ 
3359847.976  alya_3D_l+    500300K            nid[001149,001+ 
3359847.977  alya_3D_l+    500320K            nid[001122,001+ 
3359847.978  alya_3D_l+    517380K            nid[001000,001+ 
3359847.979  alya_3D_l+    501132K            nid[001253-001+ 
3359847.980  alya_3D_l+    499984K            nid[002657,002+ 
3359847.981  alya_3D_l+    500172K            nid[001921-001+ 
3359847.982  alya_3D_l+    500296K            nid[001000,001+ 
3359847.983  alya_3D_l+    516064K            nid[001000,001+ 
3359847.984  alya_3D_l+    500028K            nid[001122,001+ 
3359847.985  alya_3D_l+    502356K            nid[001253-001+ 
3359847.986  alya_3D_l+    516308K            nid[001921-001+ 
3359847.987  alya_3D_l+    500356K            nid[001921-001+ 
3359847.988  alya_3D_l+    500060K            nid[001000,001+ 
3359847.989  alya_3D_l+    500332K            nid[001030-001+ 
3359847.990  alya_3D_l+    500284K            nid[001000,001+ 
3359847.991  alya_3D_l+    516532K            nid[001122,001+ 
3359847.992  alya_3D_l+    516692K            nid[001921-001+ 
3359847.993  alya_3D_l+    500012K            nid[002657,002+ 
3359847.994  alya_3D_l+    499932K            nid[001253-001+ 
3359847.995  alya_3D_l+    500072K            nid[001420-001+ 
3359847.996  alya_3D_l+    499804K            nid[001000,001+ 
3359847.997  alya_3D_l+    500212K            nid[001000,001+ 
3359847.998  alya_3D_l+    500228K            nid[001921-001+ 
3359847.999  alya_3D_l+    500168K            nid[001253-001+ 
3359847.1000 alya_3D_l+    500412K            nid[001253-001+ 
3359847.1001 alya_3D_l+    500100K            nid[001420-001+ 
3359847.1002 alya_3D_l+    500064K            nid[001122,001+ 
3359847.1003 alya_3D_l+    500352K            nid[001000,001+ 
3359847.1004 alya_3D_l+    500584K            nid[001921-001+ 
3359847.1005 alya_3D_l+    500388K            nid[001122,001+ 
3359847.1006 alya_3D_l+    500476K            nid[001253-001+ 
3359847.1007 alya_3D_l+    500176K            nid[001420-001+ 
3359847.1008 alya_3D_l+    500060K            nid[002657,002+ 
3359847.1009 alya_3D_l+    500280K            nid[001000,001+ 
3359847.1010 alya_3D_l+    506276K            nid[001921-001+ 
3359847.1011 alya_3D_l+    499944K            nid[001122,001+ 
3359847.1012 alya_3D_l+    500096K            nid[001122,001+ 
3359847.1013 alya_3D_l+    500512K            nid[001420-001+ 
3359847.1014 alya_3D_l+    516260K            nid[002657,002+ 
3359847.1015 alya_3D_l+    500004K            nid[001000,001+ 
3359847.1016 alya_3D_l+    500084K            nid[001921-001+ 
3359847.1017 alya_3D_l+    500140K            nid[001253-001+ 
3359847.1018 alya_3D_l+    500240K            nid[001122,001+ 
3359847.1019 alya_3D_l+    500292K            nid[001431,001+ 
3359847.1020 alya_3D_l+    500160K            nid[001420-001+ 
3359847.1021 alya_3D_l+    500152K            nid[001000,001+ 
3359847.1022 alya_3D_l+    500108K            nid[001271,001+ 
3359847.1023 alya_3D_l+    500220K            nid[001253-001+ 
3359847.1024 alya_3D_l+    499992K            nid[001122,001+ 
3359847.1025 alya_3D_l+    516936K            nid[001122,001+ 
3359847.1026 alya_3D_l+    516404K            nid[001000,001+ 
3359847.1027 alya_3D_l+    500252K            nid[001000,001+ 
3359847.1028 alya_3D_l+    515908K            nid[001253-001+ 
3359847.1029 alya_3D_l+    500268K            nid[001253-001+ 
3359847.1030 alya_3D_l+    500220K            nid[002657,002+ 
3359847.1031 alya_3D_l+    515800K            nid[001122,001+ 
3359847.1032 alya_3D_l+    500868K            nid[001000,001+ 
3359847.1033 alya_3D_l+    516516K            nid[001030-001+ 
3359847.1034 alya_3D_l+    499856K            nid[001000,001+ 
3359847.1035 alya_3D_l+    500608K            nid[001420-001+ 
3359847.1036 alya_3D_l+    500524K            nid[002657,002+ 
3359847.1037 alya_3D_l+    500100K            nid[001122,001+ 
3359847.1038 alya_3D_l+    500016K            nid[001253-001+ 
3359847.1039 alya_3D_l+    500444K            nid[001253-001+ 
3359847.1040 alya_3D_l+    500148K            nid[002657,002+ 
3359847.1041 alya_3D_l+    500168K            nid[001000,001+ 
3359847.1042 alya_3D_l+    500264K            nid[001122,001+ 
3359847.1043 alya_3D_l+    501980K            nid[001122,001+ 
3359847.1044 alya_3D_l+    500332K            nid[001253-001+ 
3359847.1045 alya_3D_l+    500116K            nid[001000,001+ 
3359847.1046 alya_3D_l+    500056K            nid[001030-001+ 
3359847.1047 alya_3D_l+    500132K            nid[001000,001+ 
3359847.1048 alya_3D_l+    499976K            nid[001122,001+ 
3359847.1049 alya_3D_l+    500556K            nid[001122,001+ 
3359847.1050 alya_3D_l+    500100K            nid[001253-001+ 
3359847.1051 alya_3D_l+    516136K            nid[001253-001+ 
3359847.1052 alya_3D_l+    502232K            nid[001000,001+ 
3359847.1053 alya_3D_l+    500012K            nid[001030-001+ 
3359847.1054 alya_3D_l+    516364K            nid[001000,001+ 
3359847.1055 alya_3D_l+    516132K            nid[001122,001+ 
3359847.1056 alya_3D_l+    517328K            nid[001253-001+ 
3359847.1057 alya_3D_l+    500112K            nid[001253-001+ 
3359847.1058 alya_3D_l+    500056K            nid[001000,001+ 
3359847.1059 alya_3D_l+    500312K            nid[001000,001+ 
3359847.1060 alya_3D_l+    499952K            nid[001122,001+ 
3359847.1061 alya_3D_l+    516404K            nid[001420-001+ 
3359847.1062 alya_3D_l+    500532K            nid[001030-001+ 
3359847.1063 alya_3D_l+    500284K            nid[001000,001+ 
3359847.1064 alya_3D_l+    500104K            nid[001000,001+ 
3359847.1065 alya_3D_l+    500228K            nid[001122,001+ 
3359847.1066 alya_3D_l+    500356K            nid[001122,001+ 
3359847.1067 alya_3D_l+    499976K            nid[001420-001+ 
3359847.1068 alya_3D_l+    516380K            nid[001253-001+ 
3359847.1069 alya_3D_l+    499896K            nid[001000,001+ 
3359847.1070 alya_3D_l+    515868K            nid[001030-001+ 
3359847.1071 alya_3D_l+    501264K            nid[001000,001+ 
3359847.1072 alya_3D_l+    516184K            nid[001122,001+ 
3359847.1073 alya_3D_l+    500204K            nid[001122,001+ 
3359847.1074 alya_3D_l+    499912K            nid[001253-001+ 
3359847.1075 alya_3D_l+    500112K            nid[001000,001+ 
3359847.1076 alya_3D_l+    499924K            nid[001030-001+ 
3359847.1077 alya_3D_l+    500056K            nid[001000,001+ 
3359847.1078 alya_3D_l+    500080K            nid[001122,001+ 
3359847.1079 alya_3D_l+    516372K            nid[001149,001+ 
3359847.1080 alya_3D_l+    500472K            nid[001122,001+ 
3359847.1081 alya_3D_l+    500288K            nid[001000,001+ 
3359847.1082 alya_3D_l+    500008K            nid[001000,001+ 
3359847.1083 alya_3D_l+    500236K            nid[001921-001+ 
3359847.1084 alya_3D_l+    500208K            nid[001122,001+ 
3359847.1085 alya_3D_l+    500420K            nid[001149,001+ 
3359847.1086 alya_3D_l+    500040K            nid[001122,001+ 
3359847.1087 alya_3D_l+    500076K            nid[001000,001+ 
3359847.1088 alya_3D_l+    500200K            nid[001431,001+ 
3359847.1089 alya_3D_l+    516544K            nid[001420-001+ 
3359847.1090 alya_3D_l+    499948K            nid[002657,002+ 
3359847.1091 alya_3D_l+    499996K            nid[001000,001+ 
3359847.1092 alya_3D_l+    499992K            nid[001122,001+ 
3359847.1093 alya_3D_l+    500148K            nid[001122,001+ 
3359847.1094 alya_3D_l+    500284K            nid[001420-001+ 
3359847.1095 alya_3D_l+    500284K            nid[001420-001+ 
3359847.1096 alya_3D_l+    500316K            nid[002657,002+ 
3359847.1097 alya_3D_l+    500072K            nid[001000,001+ 
3359847.1098 alya_3D_l+    515860K            nid[001122,001+ 
3359847.1099 alya_3D_l+    516028K            nid[001253-001+ 
3359847.1100 alya_3D_l+    500476K            nid[001420-001+ 
3359847.1101 alya_3D_l+    515968K            nid[001000,001+ 
3359847.1102 alya_3D_l+    500212K            nid[001030-001+ 
3359847.1103 alya_3D_l+    500124K            nid[001000,001+ 
3359847.1104 alya_3D_l+    500552K            nid[001122,001+ 
3359847.1105 alya_3D_l+    500144K            nid[001253-001+ 
3359847.1106 alya_3D_l+    500208K            nid[001420-001+ 
3359847.1107 alya_3D_l+    500076K            nid[001431,001+ 
3359847.1108 alya_3D_l+    515276K            nid[001420-001+ 
3359847.1109 alya_3D_l+    515880K            nid[001000,001+ 
3359847.1110 alya_3D_l+    500560K            nid[001122,001+ 
3359847.1111 alya_3D_l+    515216K            nid[001253-001+ 
3359847.1112 alya_3D_l+    499848K            nid[001420-001+ 
3359847.1113 alya_3D_l+    500548K            nid[001431,001+ 
3359847.1114 alya_3D_l+    500564K            nid[001420-001+ 
3359847.1115 alya_3D_l+    516112K            nid[001000,001+ 
3359847.1116 alya_3D_l+    500408K            nid[001122,001+ 
3359847.1117 alya_3D_l+    515692K            nid[001253-001+ 
3359847.1118 alya_3D_l+    500308K            nid[001921-001+ 
3359847.1119 alya_3D_l+    516168K            nid[001000,001+ 
3359847.1120 alya_3D_l+    500184K            nid[001030-001+ 
3359847.1121 alya_3D_l+    500392K            nid[001000,001+ 
3359847.1122 alya_3D_l+    499920K            nid[001122,001+ 
3359847.1123 alya_3D_l+    500276K            nid[001122,001+ 
3359847.1124 alya_3D_l+    515564K            nid[002657,002+ 
3359847.1125 alya_3D_l+    500180K            nid[001000,001+ 
3359847.1126 alya_3D_l+    500144K            nid[001431,001+ 
3359847.1127 alya_3D_l+    499940K            nid[001420-001+ 
3359847.1128 alya_3D_l+    516068K            nid[001122,001+ 
3359847.1129 alya_3D_l+    500276K            nid[001122,001+ 
3359847.1130 alya_3D_l+    516060K            nid[002657,002+ 
3359847.1131 alya_3D_l+    500632K            nid[001000,001+ 
3359847.1132 alya_3D_l+    500040K            nid[001000,001+ 
3359847.1133 alya_3D_l+    499880K            nid[001420-001+ 
3359847.1134 alya_3D_l+    500584K            nid[001122,001+ 
3359847.1135 alya_3D_l+    500212K            nid[001253-001+ 
3359847.1136 alya_3D_l+    500148K            nid[001253-001+ 
3359847.1137 alya_3D_l+    500532K            nid[001000,001+ 
3359847.1138 alya_3D_l+    502876K            nid[001000,001+ 
3359847.1139 alya_3D_l+    514276K            nid[001420-001+ 
3359847.1140 alya_3D_l+    500124K            nid[001122,001+ 
3359847.1141 alya_3D_l+    500088K            nid[001253-001+ 
3359847.1142 alya_3D_l+    500000K            nid[001431,001+ 
3359847.1143 alya_3D_l+    515600K            nid[001000,001+ 
3359847.1144 alya_3D_l+    499948K            nid[001030-001+ 
3359847.1145 alya_3D_l+    500976K            nid[001000,001+ 
3359847.1146 alya_3D_l+    516076K            nid[001122,001+ 
3359847.1147 alya_3D_l+    500336K            nid[001253-001+ 
3359847.1148 alya_3D_l+    500260K            nid[001420-001+ 
3359847.1149 alya_3D_l+    500548K            nid[001149,001+ 
3359847.1150 alya_3D_l+    500288K            nid[001194,001+ 
3359847.1151 alya_3D_l+    500300K            nid[001000,001+ 
3359847.1152 alya_3D_l+    516568K            nid[001000,001+ 
3359847.1153 alya_3D_l+    500288K            nid[001253-001+ 
3359847.1154 alya_3D_l+    502804K            nid[002657,002+ 
3359847.1155 alya_3D_l+    515908K            nid[001030-001+ 
3359847.1156 alya_3D_l+    517088K            nid[001064,001+ 
3359847.1157 alya_3D_l+    500500K            nid[001000,001+ 
3359847.1158 alya_3D_l+    518020K            nid[001122,001+ 
3359847.1159 alya_3D_l+    500680K            nid[001122,001+ 
3359847.1160 alya_3D_l+    516260K            nid[002657,002+ 
3359847.1161 alya_3D_l+    514540K            nid[001000,001+ 
3359847.1162 alya_3D_l+    500052K            nid[001030-001+ 
3359847.1163 alya_3D_l+    500068K            nid[001000,001+ 
3359847.1164 alya_3D_l+    515636K            nid[001122,001+ 
3359847.1165 alya_3D_l+    500440K            nid[001122,001+ 
3359847.1166 alya_3D_l+    500268K            nid[002657,002+ 
3359847.1167 alya_3D_l+    500284K            nid[001000,001+ 
3359847.1168 alya_3D_l+    500228K            nid[001030-001+ 
3359847.1169 alya_3D_l+    500112K            nid[001000,001+ 
3359847.1170 alya_3D_l+    500152K            nid[001253-001+ 
3359847.1171 alya_3D_l+    500596K            nid[001122,001+ 
3359847.1172 alya_3D_l+    500564K            nid[002657,002+ 
3359847.1173 alya_3D_l+    500500K            nid[001000,001+ 
3359847.1174 alya_3D_l+    500636K            nid[001000,001+ 
3359847.1175 alya_3D_l+    500432K            nid[001420-001+ 
3359847.1176 alya_3D_l+    500264K            nid[001921-001+ 
3359847.1177 alya_3D_l+    516360K            nid[001122,001+ 
3359847.1178 alya_3D_l+    500512K            nid[002657,002+ 
3359847.1179 alya_3D_l+    500012K            nid[001000,001+ 
3359847.1180 alya_3D_l+    500576K            nid[001253-001+ 
3359847.1181 alya_3D_l+    500424K            nid[001420-001+ 
3359847.1182 alya_3D_l+    516272K            nid[001921-001+ 
3359847.1183 alya_3D_l+    500340K            nid[001122,001+ 
3359847.1184 alya_3D_l+    500056K            nid[002657,002+ 
3359847.1185 alya_3D_l+    516364K            nid[001000,001+ 
3359847.1186 alya_3D_l+    516292K            nid[001253-001+ 
3359847.1187 alya_3D_l+    516164K            nid[001122,001+ 
3359847.1188 alya_3D_l+    500696K            nid[001122,001+ 
3359847.1189 alya_3D_l+    500732K            nid[001921-001+ 
3359847.1190 alya_3D_l+    516368K            nid[002657,002+ 
3359847.1191 alya_3D_l+    500240K            nid[001000,001+ 
3359847.1192 alya_3D_l+    500468K            nid[001149,001+ 
3359847.1193 alya_3D_l+    499992K            nid[001122,001+ 
3359847.1194 alya_3D_l+    499940K            nid[001420-001+ 
3359847.1195 alya_3D_l+    500144K            nid[001000,001+ 
3359847.1196 alya_3D_l+    500408K            nid[001000,001+ 
3359847.1197 alya_3D_l+    500312K            nid[001921-001+ 
3359847.1198 alya_3D_l+    501064K            nid[001122,001+ 
3359847.1199 alya_3D_l+    515400K            nid[001122,001+ 
3359847.1200 alya_3D_l+    500044K            nid[002657,002+ 
3359847.1201 alya_3D_l+    500476K            nid[001000,001+ 
3359847.1202 alya_3D_l+    499944K            nid[001030-001+ 
3359847.1203 alya_3D_l+    502056K            nid[001000,001+ 
3359847.1204 alya_3D_l+    499868K            nid[001122,001+ 
3359847.1205 alya_3D_l+    516200K            nid[001122,001+ 
3359847.1206 alya_3D_l+    501356K            nid[002657,002+ 
3359847.1207 alya_3D_l+    500148K            nid[001420-001+ 
3359847.1208 alya_3D_l+    513248K            nid[001000,001+ 
3359847.1209 alya_3D_l+    513592K            nid[001000,001+ 
3359847.1210 alya_3D_l+    500040K            nid[001122,001+ 
3359847.1211 alya_3D_l+    500320K            nid[001149,001+ 
3359847.1212 alya_3D_l+    500496K            nid[001194,001+ 
3359847.1213 alya_3D_l+    500408K            nid[001122,001+ 
3359847.1214 alya_3D_l+    500136K            nid[001000,001+ 
3359847.1215 alya_3D_l+    500096K            nid[001000,001+ 
3359847.1216 alya_3D_l+    516552K            nid[001253-001+ 
3359847.1217 alya_3D_l+    516408K            nid[001253-001+ 
3359847.1218 alya_3D_l+    518072K            nid[002657,002+ 
3359847.1219 alya_3D_l+    500176K            nid[001000,001+ 
3359847.1220 alya_3D_l+    500168K            nid[001000,001+ 
3359847.1221 alya_3D_l+    500192K            nid[001122,001+ 
3359847.1222 alya_3D_l+    500488K            nid[001420-001+ 
3359847.1223 alya_3D_l+    500148K            nid[001000,001+ 
3359847.1224 alya_3D_l+    516312K            nid[001030-001+ 
3359847.1225 alya_3D_l+    500652K            nid[001064,001+ 
3359847.1226 alya_3D_l+    500004K            nid[001000,001+ 
3359847.1227 alya_3D_l+    500240K            nid[001122,001+ 
3359847.1228 alya_3D_l+    500140K            nid[001420-001+ 
3359847.1229 alya_3D_l+    500316K            nid[001921-001+ 
3359847.1230 alya_3D_l+    500184K            nid[001000,001+ 
3359847.1231 alya_3D_l+    500064K            nid[001000,001+ 
3359847.1232 alya_3D_l+    498888K            nid[002657,002+ 
3359847.1233 alya_3D_l+    500360K            nid[001122,001+ 
3359847.1234 alya_3D_l+    503572K            nid[001420-001+ 
3359847.1235 alya_3D_l+    500176K            nid[001921-001+ 
3359847.1236 alya_3D_l+    500088K            nid[001000,001+ 
3359847.1237 alya_3D_l+    500164K            nid[001030-001+ 
3359847.1238 alya_3D_l+    515448K            nid[001000,001+ 
3359847.1239 alya_3D_l+    516088K            nid[001122,001+ 
3359847.1240 alya_3D_l+    500568K            nid[001420-001+ 
3359847.1241 alya_3D_l+    516364K            nid[001921-001+ 
3359847.1242 alya_3D_l+    500572K            nid[001122,001+ 
3359847.1243 alya_3D_l+    500080K            nid[001000,001+ 
3359847.1244 alya_3D_l+    500520K            nid[001030-001+ 
3359847.1245 alya_3D_l+    516176K            nid[001000,001+ 
3359847.1246 alya_3D_l+    516432K            nid[001122,001+ 
3359847.1247 alya_3D_l+    500588K            nid[001122,001+ 
3359847.1248 alya_3D_l+    500036K            nid[001921-001+ 
3359847.1249 alya_3D_l+    516116K            nid[001000,001+ 
3359847.1250 alya_3D_l+    500432K            nid[001000,001+ 
3359847.1251 alya_3D_l+    500116K            nid[001253-001+ 
3359847.1252 alya_3D_l+    500280K            nid[001420-001+ 
3359847.1253 alya_3D_l+    502988K            nid[001030-001+ 
3359847.1254 alya_3D_l+    500192K            nid[001064,001+ 
3359847.1255 alya_3D_l+    500020K            nid[001000,001+ 
3359847.1256 alya_3D_l+    500340K            nid[001253-001+ 
3359847.1257 alya_3D_l+    500128K            nid[002657,002+ 
3359847.1258 alya_3D_l+    514508K            nid[001420-001+ 
